originalSkillUri,originalSkillType,relationType,relatedSkillType,relatedSkillUri
http://data.europa.eu/esco/skill/04e6f19b-6458-432f-9790-3979831a03bc,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/8b3aefd2-5021-418f-b069-828fb7abc598
http://data.europa.eu/esco/skill/050dc15e-a41f-4958-bb2c-3fa46c2182be,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/530cb489-d900-46ab-9350-4d50ccd49eea
http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/4e09e2d2-e317-47d2-bf5e-1d6c66be3efc
http://data.europa.eu/esco/skill/05338a70-1ea1-4c33-a886-1c4f0c7d7241,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/11cbcf7f-8dc3-4c9a-9ec1-37f51b5cbc19
http://data.europa.eu/esco/skill/05338a70-1ea1-4c33-a886-1c4f0c7d7241,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/3120b759-2707-4d88-bfbd-71c95460d62c
http://data.europa.eu/esco/skill/05338a70-1ea1-4c33-a886-1c4f0c7d7241,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/9db1c890-581b-4ca0-bce4-7f3f7540ea99
http://data.europa.eu/esco/skill/0539bd09-531a-4857-b739-cfd0316e4c65,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/cef5c0f8-1e40-4c09-b6a7-aa7811849e5d
http://data.europa.eu/esco/skill/0551beb0-2e59-4e43-8883-d4a06400940f,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f874149a-1d76-43ba-a3b9-338c6d83da30
http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/089ddb19-1c7a-43ff-ba64-070f7ce4787a
http://data.europa.eu/esco/skill/0568517d-3d5f-470f-ac29-0b6509dd85b8,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/1f67e478-292c-4db6-9f95-ef34f1e4ff9f
