PARENTOBJECTTYPE,PARENTUUID,CHILDUUID,CHILDOBJECTTYPE
SkillGroup,452caf8d-88b3-42b8-bee9-38714b6aabeb,8e2f6123-288b-4259-bbff-d0a03a700343,SkillGroup
SkillGroup,8e2f6123-288b-4259-bbff-d0a03a700343,b5c9024c-86a3-40d3-a5cc-ef24d6f13397,SkillGroup
SkillGroup,452caf8d-88b3-42b8-bee9-38714b6aabeb,fb69f338-9bbd-46ea-90f6-a909e516ea40,SkillGroup
SkillGroup,fb69f338-9bbd-46ea-90f6-a909e516ea40,c2a4a65c-1f9b-4f72-b340-6ebb4540b282,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,c0deb834-48f9-49ab-ab5b-af7aad97d51c,SkillGroup
SkillGroup,c0deb834-48f9-49ab-ab5b-af7aad97d51c,7429d920-ae9f-4095-9fd0-d50ee1f77136,SkillGroup
SkillGroup,7429d920-ae9f-4095-9fd0-d50ee1f77136,3e6dee05-f048-4c3f-b481-6f527420fa06,SkillGroup
SkillGroup,c0deb834-48f9-49ab-ab5b-af7aad97d51c,1da4afb3-38ca-49e0-b1b0-2662c14ef276,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,b44fec60-e926-4fcd-bcbf-6ca4166402f2,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,1df29a71-a3ef-47ab-9d9f-fc2fb183b859,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,82adade4-e6a5-4e00-aa1e-a007ca468784,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,ad2bc25c-a000-449b-8e51-b731ad50feae,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,ade7596b-1c17-4d2b-aa4e-eef089cd9e14,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,f95c5a72-e0b4-4b2b-bcf8-dfdf2f33e7a5,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,706dbf2f-7ef4-4404-8eff-05046055b980,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,76f37157-a0eb-4a5d-901f-28c4dc8bf48f,SkillGroup
SkillGroup,1da4afb3-38ca-49e0-b1b0-2662c14ef276,f15f5c26-77ef-403a-a72f-23a39dfc5779,SkillGroup
SkillGroup,c0deb834-48f9-49ab-ab5b-af7aad97d51c,5af561c9-5ba9-4f9f-8a1a-3ad3f56c6c20,SkillGroup
SkillGroup,5af561c9-5ba9-4f9f-8a1a-3ad3f56c6c20,37c4b289-4791-4569-8b4c-166c15e0effa,SkillGroup
SkillGroup,5af561c9-5ba9-4f9f-8a1a-3ad3f56c6c20,9e521514-cfc6-4611-a323-70368aae55a4,SkillGroup
SkillGroup,5af561c9-5ba9-4f9f-8a1a-3ad3f56c6c20,a5a55c22-ca87-4b29-816d-f28cd6b11a49,SkillGroup
SkillGroup,5af561c9-5ba9-4f9f-8a1a-3ad3f56c6c20,8dedc911-d918-4749-8bd1-c049c4797aa5,SkillGroup
SkillGroup,5af561c9-5ba9-4f9f-8a1a-3ad3f56c6c20,baf5565b-e45b-4255-b648-918e5517a2e9,SkillGroup
SkillGroup,c0deb834-48f9-49ab-ab5b-af7aad97d51c,c0a00d5c-4ff1-4fbf-bec7-e884bd5059b5,SkillGroup
SkillGroup,c0a00d5c-4ff1-4fbf-bec7-e884bd5059b5,a0575261-051e-4a17-ab0f-6c83adbe4456,SkillGroup
SkillGroup,c0deb834-48f9-49ab-ab5b-af7aad97d51c,98a34509-7179-487e-840d-a8a7506e1333,SkillGroup
SkillGroup,98a34509-7179-487e-840d-a8a7506e1333,dc4d0e4b-7b8d-4b76-956c-04b52d43d4c1,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,76d3b221-a949-481e-8c80-c278395ccf21,SkillGroup
SkillGroup,76d3b221-a949-481e-8c80-c278395ccf21,14e9f050-7aea-41f4-9224-0df6b8280437,SkillGroup
SkillGroup,14e9f050-7aea-41f4-9224-0df6b8280437,d12fcfc3-3cd8-42b5-8351-a0a98cc5c7f4,SkillGroup
SkillGroup,76d3b221-a949-481e-8c80-c278395ccf21,dde53511-cc5e-4625-8c18-19ad59ac46f0,SkillGroup
SkillGroup,dde53511-cc5e-4625-8c18-19ad59ac46f0,b21d7e88-da3e-4fea-9c82-248b948fe572,SkillGroup
SkillGroup,dde53511-cc5e-4625-8c18-19ad59ac46f0,8076fb99-7385-424d-ba60-a7d49addbf21,SkillGroup
SkillGroup,dde53511-cc5e-4625-8c18-19ad59ac46f0,2f7a5f46-1d87-4fbb-992b-e315e31c0dcb,SkillGroup
SkillGroup,dde53511-cc5e-4625-8c18-19ad59ac46f0,b734015c-0732-4e1d-90d3-ee6579560446,SkillGroup
SkillGroup,dde53511-cc5e-4625-8c18-19ad59ac46f0,b38921b4-2a32-49bf-bd41-217aad488d84,SkillGroup
SkillGroup,dde53511-cc5e-4625-8c18-19ad59ac46f0,d4958d65-731a-4935-86b4-d3f336f569b7,SkillGroup
SkillGroup,dde53511-cc5e-4625-8c18-19ad59ac46f0,c839315e-0bec-456e-9368-8001ab3d0323,SkillGroup
SkillGroup,76d3b221-a949-481e-8c80-c278395ccf21,44706215-d443-425a-bdf8-9075d9cf5e2f,SkillGroup
